SubjID, x02, x03, x04, x05, x06, x07, x08, x09, x10, x11, x12, x13, x14, x15, x16, x17, x01
102001,   3,   1,   1,   1,   1,   4,   2,   1,   1,   2,   1,   1,   2,   2,   1,   1,   2
102002,   3,   3,   2,   1,   1,   1,   2,   1,   1,   2,   1,   1,   2,   2,   1,   2,   2
102003,   3,   1,   1,   1,   1,   4,   3,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102004,   3,   1,   1,   3,   3,   2,   2,   1,   1,   2,   1,   1,   1,   1,   2,   2,   2
102005,   2,   1,   2,   2,   2,   3,   3,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102006,   2,   1,   2,   1,   1,   2,   1,   1,   1,   2,   2,   1,   1,   1,   2,   2,   2
102007,   2,   1,   2,   1,   1,   3,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   2
102008,   2,   1,   2,   1,   1,   1,   1,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102009,   2,   1,   2,   1,   1,   2,   2,   1,   2,   2,   2,   2,   1,   1,   2,   1,   2
102010,   1,   1,   2,   1,   1,   1,   1,   1,   1,   2,   2,   1,   1,   1,   2,   1,   2
102011,   3,   1,   1,   1,   1,   3,   2,   1,   1,   2,   2,   1,   1,   1,   2,   2,   2
102012,   3,   1,   1,   2,   2,   1,   3,   1,   2,   1,   2,   1,   1,   1,   2,   1,   2
102013,   1,   1,   1,   1,   1,   1,   2,   1,   1,   1,   2,   1,   1,   1,   2,   2,   2
102014,   3,   1,   1,   3,   3,   2,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   2
102015,   3,   1,   1,   2,   2,   3,   3,   1,   1,   2,   3,   1,   1,   1,   2,   1,   2
102016,   3,   1,   1,   1,   1,   2,   2,   1,   2,   1,   3,   1,   1,   1,   2,   2,   2
102017,   2,   1,   1,   1,   1,   1,   2,   1,   1,   1,   2,   1,   1,   1,   2,   2,   2
102018,   1,   1,   1,   2,   2,   1,   2,   1,   1,   1,   1,   1,   1,   3,   2,   1,   2
102019,   1,   1,   2,   1,   1,   2,   2,   1,   1,   2,   1,   1,   1,   1,   2,   1,   2
102020,   3,   1,   1,   1,   1,   2,   3,   1,   1,   1,   3,   1,   1,   1,   2,   1,   2
102021,   1,   1,   1,   1,   1,   2,   2,   1,   1,   1,   3,   1,   1,   1,   2,   2,   2
102022,   3,   1,   2,   3,   3,   4,   2,   1,   1,   1,   1,   1,   1,   1,   2,   1,   2
102023,   2,   1,   1,   1,   1,   3,   3,   1,   1,   2,   2,   1,   1,   1,   2,   2,   2
102024,   2,   1,   1,   1,   1,   4,   2,   1,   1,   2,   2,   1,   1,   2,   2,   2,   2
102025,   2,   1,   1,   1,   1,   1,   2,   1,   1,   1,   2,   2,   1,   2,   2,   1,   2
102026,   3,   1,   2,   1,   1,   4,   3,   1,   1,   1,   1,   1,   1,   1,   2,   1,   2
102027,   2,   1,   2,   1,   1,   2,   2,   1,   1,   1,   1,   1,   1,   1,   2,   1,   2
102028,   1,   1,   1,   1,   1,   3,   2,   1,   1,   1,   3,   1,   1,   1,   2,   2,   2
102029,   2,   3,   2,   1,   1,   1,   1,   1,   1,   1,   1,   1,   2,   2,   1,   2,   2
102030,   1,   3,   2,   1,   1,   2,   2,   1,   1,   1,   1,   1,   2,   2,   1,   2,   2
102031,   3,   3,   2,   1,   1,   3,   2,   1,   1,   1,   1,   1,   2,   2,   1,   1,   2
102032,   2,   3,   2,   1,   1,   3,   2,   1,   1,   1,   1,   1,   2,   2,   1,   2,   2
102033,   3,   3,   2,   1,   1,   1,   1,   1,   1,   2,   1,   1,   2,   2,   1,   2,   2
102034,   3,   3,   2,   1,   1,   2,   2,   1,   1,   2,   1,   1,   2,   2,   1,   1,   2
102035,   1,   3,   2,   3,   3,   1,   2,   1,   1,   1,   1,   1,   2,   2,   1,   1,   2
102036,   3,   3,   2,   1,   1,   1,   3,   1,   2,   1,   1,   1,   2,   2,   1,   2,   2
102037,   3,   1,   1,   1,   1,   4,   2,   1,   2,   1,   4,   1,   1,   1,   2,   1,   2
102038,   3,   1,   1,   3,   3,   2,   2,   1,   1,   1,   4,   1,   1,   1,   2,   1,   2
102039,   3,   1,   2,   2,   2,   1,   3,   1,   1,   2,   3,   2,   1,   1,   2,   2,   2
102040,   1,   1,   1,   2,   2,   4,   5,   1,   1,   2,   4,   1,   1,   1,   2,   2,   2
102041,   3,   1,   2,   1,   1,   3,   2,   1,   1,   2,   3,   1,   1,   1,   2,   1,   2
