x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,SubjID
1,5,5,4,1,5,5,0,5,5,3,0,0,0,0,20047
3,0,3,5,0,5,5,0,5,5,3,0,0,0,5,20048
3,5,0,3,0,5,3,5,3,5,3,3,0,5,5,20049
3,3,5,2,0,0,5,5,3,5,5,2,0,3,5,20050
5,3,5,2,0,5,5,0,2,5,5,0,2,5,1,20051
3,5,5,2,0,3,4,0,4,5,3,0,0,3,4,20052
5,5,5,2,0,0,5,1,5,5,5,0,0,5,5,20053
2,4,4,3,0,5,2,0,5,5,3,0,0,3,5,20054
5,4,3,3,0,5,4,0,0,5,2,0,0,2,3,20055
0,0,0,3,0,0,3,5,4,5,4,5,5,1,5,20056
1,4,3,3,3,3,3,5,2,5,2,0,5,5,5,20057
5,1,0,4,1,0,4,1,4,5,2,0,0,4,4,20058
5,5,3,2,1,0,4,0,2,5,2,0,5,2,2,20059
1,5,4,4,1,0,2,5,5,5,2,0,5,4,4,20060
3,5,3,5,5,0,2,0,2,5,2,0,0,4,0,20061
3,1,0,0,0,5,0,5,5,5,3,3,0,4,0,20062
1,5,3,1,0,5,0,5,3,5,4,0,0,2,2,20063
3,5,3,5,4,5,3,0,4,5,3,2,5,5,5,20064
3,0,3,1,0,4,4,0,5,5,5,0,0,3,5,20065
3,3,0,3,1,4,0,5,3,5,0,1,4,2,0,20066
0,4,3,5,0,4,4,5,5,5,3,4,5,4,4,20067
4,4,4,4,3,5,4,5,5,5,5,2,5,5,4,20068
4,5,3,5,0,3,5,5,0,5,4,0,0,3,5,20069
0,5,4,2,0,4,5,0,0,5,0,0,0,5,5,20070
3,0,5,0,3,4,4,3,3,5,5,5,0,2,4,20071
5,5,5,5,2,5,5,3,0,5,5,5,0,5,5,20072
0,4,5,5,0,2,3,0,0,5,5,0,0,2,5,20073
2,2,5,5,0,2,5,0,5,5,2,1,0,1,2,20074
2,4,5,4,0,2,5,5,2,5,3,2,1,5,1,20075
5,5,5,5,0,5,5,5,5,5,5,2,2,5,5,20076
5,5,5,3,0,5,3,5,0,5,2,0,5,3,5,20077
0,0,5,3,2,0,5,0,5,5,5,5,0,0,5,20078
0,5,5,5,0,5,5,5,5,5,5,5,2,5,5,20079
5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,20080
5,5,0,5,0,5,5,0,0,4,2,0,0,3,5,20081
3,5,0,5,0,5,3,0,0,4,2,0,5,3,5,20082
4,2,4,3,2,4,5,3,2,0,1,0,1,1,5,20083
1,5,2,4,1,4,5,1,1,0,1,0,0,4,5,20084
